,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,ballina,40,IE,1570557528,93,54.11,-9.15,53.01,21.92
89,pangnirtung,40,CA,1570557528,85,66.15,-65.72,37.4,5.82
90,rio grande,1,US,1570557528,37,41.11,-90.4,71.01,13.87
91,sioux lookout,1,US,1570557529,35,46.74,-90.88,70.0,17.22
92,mar del plata,0,CN,1570557529,69,29.86,90.73,32.99,4.25
93,kaitangata,100,NZ,1570557529,91,-46.28,169.85,48.99,1.99
94,cape town,0,CL,1570557530,45,-36.41,-71.9,66.2,10.29
95,port lincoln,59,CD,1570557530,43,-7.04,29.76,71.87,2.42
96,hobart,90,AU,1570557236,70,-42.88,147.33,46.4,9.17
97,lavrentiya,100,RU,1570557530,98,65.58,-170.99,32.45,5.03
98,piacabucu,18,BR,1570557531,66,-10.41,-36.43,80.15,12.75
99,kruisfontein,1,ZA,1570557531,94,-34.0,24.73,55.67,2.06
100,saint-philippe,1,CA,1570557531,48,45.36,-73.48,64.4,3.36
101,tebingtinggi,82,ID,1570557532,97,3.33,99.16,73.85,3.54
102,geraldton,20,CA,1570557532,51,49.72,-86.95,60.8,13.87
103,balakhta,60,RU,1570557532,93,55.38,91.62,36.41,5.1
104,uray,97,RU,1570557532,90,60.13,64.8,45.59,4.12
105,bambous virieux,40,MU,1570557533,69,-20.26,57.41,73.4,14.99
106,clyde river,100,NZ,1570557533,96,-45.19,169.32,50.0,2.5
107,chikwawa,12,MW,1570557533,31,-16.03,34.79,87.53,4.16
108,labuhan,0,ID,1570557534,85,-2.54,115.51,72.59,1.86
109,wilmington,75,US,1570557534,51,39.75,-75.55,66.99,9.17
110,waipawa,60,NZ,1570557534,77,-39.94,176.59,54.0,8.01
111,esik,75,KZ,1570557535,76,43.36,77.47,57.2,11.18
112,codrington,90,AU,1570557535,77,-28.95,153.24,64.4,6.93
113,fortuna,16,ES,1570557535,64,38.18,-1.13,77.0,4.7
114,lompoc,20,US,1570557535,93,34.64,-120.46,68.0,10.12
115,kodiak,1,US,1570557536,45,39.95,-94.76,69.01,11.41
116,qaanaaq,86,GL,1570557536,67,77.48,-69.36,20.03,10.27
117,muros,75,ES,1570557536,82,42.77,-9.06,66.99,10.29
118,ribeira grande,90,PT,1570557537,87,41.76,-8.56,66.99,13.87
119,hilo,90,US,1570557537,83,19.71,-155.08,75.99,4.7
120,ancud,75,CL,1570557537,66,-41.87,-73.83,53.6,10.29
121,vardo,90,US,1570557538,82,39.62,-77.74,64.99,9.17
122,anadyr,75,RU,1570557538,86,64.73,177.51,30.2,24.61
123,harper,1,US,1570557538,44,30.3,-99.24,82.0,3.36
124,saskylakh,70,RU,1570557538,97,71.97,114.09,16.97,9.46
125,victoria,75,BN,1570557539,94,5.28,115.24,77.0,3.36
126,manggar,91,ID,1570557539,90,-2.88,108.27,74.21,0.92
127,cap malheureux,75,FR,1570557539,82,49.27,-1.21,60.01,14.99
128,grand river south east,90,FR,1570557540,100,48.39,5.49,63.0,12.75
129,alyangula,91,AU,1570557540,93,-13.85,136.42,66.2,5.05
130,nyurba,86,RU,1570557540,94,63.29,118.35,14.09,3.0
131,sitka,0,US,1570557540,39,37.17,-99.65,73.99,21.99
132,bend,1,US,1570557541,41,44.06,-121.32,59.0,21.92
133,sept-iles,75,CA,1570557361,43,50.2,-66.38,55.4,14.99
134,nueva italia de ruiz,75,EC,1570557541,65,-1.72,-79.83,78.8,3.36
135,tasiilaq,75,GL,1570557541,60,65.61,-37.64,42.8,6.93
136,bilibino,100,RU,1570557542,96,68.06,166.44,12.47,3.3
137,bathsheba,20,BB,1570557542,66,13.22,-59.52,87.8,17.22
138,roswell,1,US,1570557542,49,33.39,-104.52,69.8,14.99
139,dukat,41,AL,1570557543,74,40.25,19.57,66.99,1.01
140,kyabram,0,AU,1570557543,83,-36.31,145.05,46.0,8.32
141,swan hill,1,US,1570557543,40,41.47,-93.31,70.0,16.11
142,derzhavinsk,0,KZ,1570557544,43,51.1,66.31,56.21,4.79
143,noumea,90,NC,1570557544,82,-22.28,166.46,75.0,1.12
144,vaini,31,IN,1570557545,88,15.34,74.49,76.01,1.83
145,iqaluit,75,CA,1570557545,81,63.75,-68.52,42.8,5.82
146,dikson,0,RU,1570557545,78,73.51,80.55,21.47,10.3
147,mayo,90,CA,1570557545,78,63.59,-135.9,17.6,2.24
148,tynda,94,RU,1570557546,92,55.15,124.74,24.71,3.0
149,avarua,100,CK,1570557546,60,-21.21,-159.78,69.8,8.05
150,kidal,80,ML,1570557546,17,18.44,1.41,97.97,2.62
151,havelock,90,US,1570557546,88,34.88,-76.9,75.99,14.99
152,sabha,17,LY,1570557547,17,27.03,14.43,78.71,13.04
153,wanning,75,AT,1570557547,87,48.64,13.53,55.99,5.82
154,chillicothe,1,US,1570557547,45,39.33,-82.98,70.0,11.41
155,pisco,90,PE,1570557548,30,-13.71,-76.2,71.6,10.29
156,sao jose da coroa grande,22,IN,1570557548,82,20.51,76.21,72.95,3.18
157,vega de alatorre,1,PH,1570557548,90,15.65,121.13,73.85,2.47
158,mahabad,1,IR,1570557548,33,36.77,45.72,62.87,8.7
159,chifeng,0,CN,1570557549,35,42.27,118.96,44.33,7.16
160,imeni poliny osipenko,100,NG,1570557549,95,7.32,5.96,70.97,9.34
161,flinders,40,AU,1570557549,75,-34.58,150.85,52.0,9.17
162,alta floresta,75,NO,1570557549,86,69.97,23.27,37.4,8.05
163,strezhevoy,0,RU,1570557550,69,60.73,77.6,39.2,8.95
164,lasa,20,CY,1570557550,64,34.92,32.53,77.0,6.93
165,airai,0,TL,1570557550,75,-8.93,125.41,68.27,3.8
166,new norfolk,75,LR,1570557551,94,6.65,-10.59,77.0,13.15
167,hithadhoo,0,MV,1570557551,72,-0.6,73.08,82.31,9.82
168,ternate,75,PH,1570557551,74,14.29,120.72,82.99,7.6
169,tiksi,100,RU,1570557552,84,71.64,128.87,25.79,17.07
170,bogande,65,BF,1570557552,61,12.97,-0.14,85.19,17.47
171,pyshma,100,RU,1570557552,90,56.95,63.25,47.03,4.12
172,akdepe,0,TM,1570557553,38,42.05,59.39,66.2,2.24
173,norman wells,1,US,1570557553,43,35.22,-97.44,73.0,14.99
174,castro,75,CL,1570557553,66,-42.48,-73.76,53.6,10.29
175,nikolskoye,75,RU,1570557553,86,59.7,30.79,39.99,13.42
176,hasaki,75,JP,1570557554,94,35.73,140.83,68.0,5.82
177,camacupa,72,AO,1570557554,72,-12.02,17.48,70.25,4.74
178,egvekinot,99,RU,1570557554,96,66.32,-179.17,23.99,9.95
179,dillon,1,US,1570557555,28,45.22,-112.64,64.99,17.22
180,sampang,40,ID,1570557555,97,-7.54,109.46,69.53,1.21
181,bluff,34,AU,1570557555,32,-23.58,149.07,68.45,12.3
182,qasigiannguit,5,GL,1570557556,63,68.82,-51.19,32.0,2.24
183,umea,75,SE,1570557556,82,63.83,20.26,35.6,5.82
184,leningradskiy,100,RU,1570557556,96,69.38,178.42,34.97,31.34
185,saint-augustin,20,CA,1570557557,44,45.63,-73.98,64.0,6.93
186,lerwick,75,GB,1570557557,87,60.15,-1.15,51.8,14.99
187,necochea,39,AR,1570557557,61,-38.55,-58.74,59.0,11.01
188,ilulissat,5,GL,1570557558,53,69.22,-51.1,32.0,2.24
189,valparaiso,1,US,1570557558,56,41.47,-87.06,72.0,4.7
190,ostrovnoy,100,RU,1570557558,96,68.05,39.51,37.31,15.79
191,obama,35,JP,1570557559,78,35.49,135.74,64.99,15.75
192,tezpur,49,IN,1570557559,95,26.62,92.79,72.23,1.0
193,carauari,44,BR,1570557559,45,-4.88,-66.9,92.21,3.62
194,adrar,0,DZ,1570557559,20,27.87,-0.29,87.8,17.22
195,sechura,72,PE,1570557560,94,-5.56,-80.82,60.53,17.14
196,colchester,1,US,1570557276,72,41.58,-72.33,63.0,6.93
197,tabou,84,CI,1570557560,82,4.42,-7.36,76.37,6.49
198,broome,40,GB,1570557561,87,52.47,1.45,57.0,10.29
199,cockburn town,0,AU,1570557561,49,-32.08,141.0,46.4,6.93
200,nome,1,US,1570557561,69,30.04,-94.42,79.0,3.36
201,gat,20,SN,1570557562,74,14.69,-16.54,89.6,8.05
202,bayan,99,CN,1570557562,81,36.1,102.26,43.79,3.54
203,rio gallegos,1,US,1570557562,30,41.11,-90.4,71.6,9.17
204,maumere,25,ID,1570557562,70,-8.63,122.22,72.95,3.91
205,jiaonan,78,CN,1570557563,71,35.88,119.98,51.8,4.47
206,turka,100,RU,1570557563,72,52.95,108.22,47.93,20.71
207,caravelas,40,BR,1570557563,68,-17.73,-39.27,80.69,13.11
208,beringovskiy,98,RU,1570557564,68,63.05,179.32,32.99,16.23
209,severo-kurilsk,46,RU,1570557564,88,50.68,156.12,45.77,25.32
210,matay,0,EG,1570557564,26,28.42,30.79,82.67,13.25
211,kysyl-syr,99,RU,1570557564,96,63.9,122.77,26.15,5.53
212,brae,75,GB,1570557565,93,60.4,-1.35,51.8,17.22
213,agadir,75,MA,1570557565,82,30.42,-9.58,64.4,11.41
214,khatanga,55,RU,1570557565,91,71.98,102.47,17.15,7.16
215,eldorado,79,BR,1570557566,64,-24.52,-48.11,74.75,5.32
216,yairipok,93,IN,1570557566,98,24.67,94.07,65.57,1.27
217,ripky,90,UA,1570557566,70,51.8,31.09,40.37,8.5
218,kamyaran,20,IR,1570557567,28,34.8,46.94,71.6,9.17
219,qui nhon,20,BR,1570557567,61,-10.97,-37.6,82.4,18.34
220,senigallia,0,IT,1570557567,63,43.71,13.22,62.6,5.82
221,chokurdakh,3,RU,1570557567,98,70.62,147.9,4.55,1.75
222,novaya mayna,71,RU,1570557568,81,54.72,41.58,32.45,7.11
223,taoudenni,12,ML,1570557568,7,22.68,-3.98,94.91,11.74
224,cherskiy,93,RU,1570557568,95,68.75,161.3,20.75,9.84
225,algeciras,0,ES,1570557487,44,36.13,-5.45,78.8,21.92
226,pampierstad,0,ZA,1570557569,14,-27.78,24.69,68.45,6.96
227,longyearbyen,75,NO,1570557569,93,78.22,15.63,35.6,2.13
228,michigan city,1,US,1570557569,59,48.02,-98.12,62.6,14.99
229,abha,20,SA,1570557570,28,18.22,42.5,71.6,14.99
230,arraial do cabo,40,BR,1570557570,69,-22.84,-46.65,73.4,9.17
231,antofagasta,18,CL,1570557570,67,-23.65,-70.4,60.8,11.41
232,sao mateus,22,IN,1570557570,82,20.51,76.21,72.95,3.18
233,lumphat,59,KH,1570557571,87,13.5,106.97,70.97,4.03
234,san vicente,78,ML,1570557571,22,13.3,-4.9,92.39,4.29
235,payakumbuh,100,ID,1570557571,95,-0.23,100.63,68.09,2.42
236,sal rei,50,SY,1570557571,35,36.63,38.46,73.67,5.52
237,kyzyl,58,RU,1570557572,71,51.72,94.43,43.79,3.18
238,canazas,40,PA,1570557573,83,8.38,-82.3,82.4,5.82
239,biak,51,ID,1570557573,71,-0.91,122.88,58.55,3.42
240,salalah,40,OM,1570557573,78,17.01,54.1,82.4,4.7
241,vanino,61,RU,1570557573,69,53.93,40.55,30.99,7.63
242,tashtyp,64,RU,1570557574,96,52.8,89.89,40.73,1.12
243,astana,0,KZ,1570557574,75,51.13,71.43,44.6,6.71
244,houma,88,CN,1570557574,74,35.63,111.36,56.39,6.34
245,taonan,0,CN,1570557575,44,45.34,122.78,49.37,11.88
246,riyadh,0,SA,1570557575,25,24.63,46.72,89.6,5.82
247,marawi,82,PH,1570557575,91,8.0,124.29,75.0,5.01
248,arauco,0,CL,1570557575,52,-37.25,-73.32,64.4,11.41
249,mahasamund,20,IN,1570557576,88,21.11,82.1,77.0,5.82
250,rakiv lis,86,UA,1570557576,63,49.0,24.11,46.4,6.71
251,tahoua,75,NE,1570557577,49,14.89,5.26,89.6,6.93
252,nemuro,58,JP,1570557577,69,43.32,145.57,56.21,32.96
253,east london,81,UG,1570557577,93,3.43,31.7,70.07,3.22
254,mehamn,75,NO,1570557577,80,71.03,27.85,39.2,16.11
255,fenoarivo,20,MG,1570557578,77,-18.93,47.44,60.8,9.17
256,tiarei,75,PF,1570557578,74,-17.53,-149.33,78.8,1.12
257,fraga,31,ES,1570557579,38,41.52,0.35,73.4,4.7
258,bethel,90,US,1570557579,100,60.79,-161.76,44.6,9.17
259,richards bay,1,US,1570557579,48,46.84,-95.91,66.2,10.29
260,sainte-anne-des-monts,27,CA,1570557579,73,49.13,-66.49,49.55,16.78
261,bumbuna,100,SL,1570557580,96,9.05,-11.73,72.95,4.92
262,banda aceh,0,IN,1570557580,70,28.24,80.11,74.75,3.71
263,jalu,0,LY,1570557580,22,29.03,21.55,84.11,16.6
264,tessalit,25,ML,1570557581,10,20.2,1.01,98.69,10.82
265,flin flon,92,FR,1570557581,93,48.5,6.66,68.0,8.05
266,prudentopolis,88,BR,1570557581,42,-25.21,-50.98,76.91,3.75
267,vila franca do campo,0,IT,1570557581,77,45.18,8.4,63.0,3.36
268,bhatkal,94,IN,1570557582,77,13.97,74.57,81.23,3.22
269,north platte,95,NG,1570557582,93,4.97,7.66,74.21,4.75
270,torbay,90,CA,1570557582,82,47.66,-52.73,62.6,28.86
271,saint-francois,78,FR,1570557583,64,46.42,3.91,71.6,3.36
272,namibe,100,AO,1570557583,88,-15.19,12.15,67.91,9.4
273,shitkino,82,RU,1570557583,95,56.37,98.35,30.11,3.95
274,smithers,75,CA,1570557584,68,54.78,-127.17,32.0,4.7
275,novyy nekouz,40,RU,1570557584,60,55.81,37.29,39.2,8.95
276,sibolga,85,ID,1570557584,97,1.74,98.78,70.25,1.92
277,ondjiva,40,AO,1570557584,11,-17.07,15.73,96.8,6.93
278,uige,100,AO,1570557585,85,-7.61,15.06,72.95,2.9
279,moose factory,1,US,1570557585,39,43.66,-110.72,60.01,3.36
280,vilyuysk,100,RU,1570557586,94,63.75,121.63,22.91,8.01
281,biltine,96,TD,1570557586,58,14.53,20.93,82.13,24.49
282,cidreira,90,BR,1570557587,68,-30.17,-50.22,69.89,15.77
283,namatanai,52,PG,1570557587,78,-3.66,152.44,81.23,5.17
284,yellowknife,75,CA,1570557588,80,62.45,-114.38,30.2,19.46
285,ust-omchug,56,RU,1570557588,62,61.13,149.63,6.71,1.01
286,santa fe,0,PH,1570557588,85,17.49,120.43,71.87,5.31
287,toma,100,BF,1570557588,31,12.76,-2.9,89.33,8.76
288,binzhou,99,CN,1570557589,77,37.38,117.96,57.0,7.02
289,karratha,0,AU,1570557589,35,-20.74,116.85,77.45,10.56
290,pevek,100,RU,1570557589,85,69.7,170.27,31.37,17.63
291,narsaq,75,GL,1570557589,97,60.91,-46.05,41.0,4.7
292,buraydah,0,SA,1570557590,34,26.33,43.97,93.2,8.05
293,araouane,15,ML,1570557590,9,18.9,-3.53,98.87,9.42
294,hua hin,90,MX,1570557590,70,20.68,-89.41,88.0,4.7
295,mantua,0,IT,1570557591,72,45.16,10.79,64.4,1.12
296,hambantota,48,LK,1570557591,79,6.12,81.12,81.23,11.41
297,ulaangom,0,MN,1570557591,42,49.98,92.07,44.33,1.7
298,sur,0,OM,1570557591,69,22.57,59.53,79.43,5.15
299,garowe,93,SO,1570557592,50,8.41,48.48,83.57,12.66
300,panalingaan,93,PH,1570557592,68,8.78,117.42,83.93,3.71
301,olga,1,US,1570557592,31,34.11,-118.17,81.0,6.93
302,zhigansk,99,RU,1570557593,94,66.77,123.37,22.37,7.72
303,tondano,40,ID,1570557593,94,1.3,124.91,73.4,2.24
304,dali,99,CN,1570557593,82,34.79,109.94,56.93,8.61
305,ivanivka,0,UA,1570557594,52,46.71,34.54,43.25,2.06
306,zhanaozen,50,KZ,1570557594,46,43.35,52.85,66.11,14.0
307,valdosta,90,US,1570556872,61,30.83,-83.28,86.0,6.93
308,koindu,100,GN,1570557595,96,8.44,-10.33,72.05,7.4
309,ban nahin,95,LA,1570557595,99,20.02,104.61,64.49,1.01
310,laibin,86,CN,1570557595,83,23.74,109.23,66.83,4.29
311,grand forks,90,FR,1570557596,100,48.39,5.49,63.0,12.75
312,anyang,90,CN,1570557596,58,36.1,114.34,59.09,1.12
313,biryusinsk,90,RU,1570557596,91,55.96,97.82,33.17,3.8
314,cascais,20,PT,1570557596,77,38.7,-9.42,73.99,25.28
315,eureka,1,US,1570557398,87,40.8,-124.16,61.0,16.55
316,mogadishu,65,SO,1570557597,87,2.04,45.34,79.97,13.67
317,thano bula khan,0,IN,1570557597,78,30.24,78.21,61.07,5.59
318,chicama,90,PE,1570557598,82,-7.84,-79.15,62.6,11.41
319,candolim,75,IN,1570557598,83,15.52,73.76,78.8,2.24
320,arenal,100,CO,1570557599,57,8.46,-73.94,89.69,1.61
321,reykjavik,100,IS,1570557599,81,64.15,-21.94,52.0,5.82
322,ipaba,40,BR,1570557599,38,-19.41,-42.42,89.6,8.05
323,buerarema,40,BR,1570557600,70,-14.96,-39.3,84.2,9.17
324,gidam,100,IN,1570557600,98,18.98,81.4,70.61,3.43
325,port macquarie,59,CD,1570557600,43,-7.04,29.76,71.87,2.42
326,coihaique,75,CL,1570557601,53,-45.58,-72.07,51.8,9.17
327,mwinilunga,96,ZM,1570557601,60,-11.73,24.43,66.65,2.91
328,dhidhdhoo,98,MV,1570557602,76,6.88,73.1,82.49,10.54
329,maksatikha,87,RU,1570557603,92,57.8,35.88,32.63,8.01
330,churapcha,100,RU,1570557603,96,62.0,132.43,29.03,10.56
331,arona,0,IT,1570557603,77,45.76,8.56,64.0,3.36
332,urengoy,100,RU,1570557604,85,65.96,78.37,32.63,7.81
333,jilib,56,SO,1570557604,82,0.49,42.79,78.35,7.65
334,konstantinovka,53,UA,1570557604,44,46.85,29.85,44.87,9.56
335,ishigaki,36,JP,1570557604,78,24.34,124.16,79.43,18.39
336,gwadar,0,PK,1570557605,78,25.12,62.33,82.31,16.17
337,mount isa,40,GB,1570557605,66,53.66,-1.85,55.99,10.29
338,luwuk,74,ID,1570557606,78,-0.95,122.79,78.89,12.35
339,itupiranga,75,BR,1570557606,52,-5.13,-49.33,93.2,11.41
340,belmonte,48,PT,1570557608,54,40.36,-7.35,72.0,5.88
341,cabo san lucas,75,ES,1570557609,93,43.18,-5.8,61.0,3.36
342,tura,0,RU,1570557609,82,64.27,100.22,13.37,5.3
343,vila velha,0,IT,1570557581,77,45.18,8.4,63.0,3.36
344,aswan,36,EG,1570557610,18,24.09,32.9,98.6,9.17
345,hofn,100,IS,1570557612,91,64.25,-15.21,47.57,34.55
346,tsumeb,51,NA,1570557614,9,-19.25,17.72,86.0,5.82
347,carutapera,84,BR,1570557614,78,-1.2,-46.02,81.23,19.47
348,poum,75,MK,1570557615,66,41.28,20.71,55.4,2.24
349,clermont,0,FR,1570557615,87,49.38,2.41,57.99,5.82
350,yinchuan,98,CN,1570557615,28,38.48,106.21,55.0,4.09
351,leshukonskoye,96,RU,1570557616,96,64.9,45.76,33.17,12.21
352,tilichiki,0,RU,1570557616,66,60.47,166.1,24.17,4.29
353,galle,96,GN,1570557616,98,10.08,-12.83,72.05,1.81
354,santa cruz,0,PH,1570557617,72,17.49,120.43,82.85,13.18
355,manono,62,CD,1570557618,49,-7.3,27.4,79.79,3.0
356,daru,100,PG,1570557618,85,-9.07,143.21,73.67,6.6
357,souillac,90,FR,1570557618,93,45.6,-0.6,59.0,8.05
358,mangrol,26,IN,1570557619,68,25.33,76.51,79.07,4.12
359,naze,75,NG,1570557619,94,5.43,7.07,77.0,3.36
360,kakamega,75,KE,1570557619,69,0.28,34.75,73.4,5.82
361,praia da vitoria,20,BR,1570557620,33,-20.25,-43.81,89.6,10.29
362,ambilobe,67,MG,1570557620,61,-13.19,49.05,77.27,15.9
363,eyrarbakki,99,IS,1570557621,76,63.86,-21.15,52.0,2.24
364,isangel,98,VU,1570557621,77,-19.55,169.27,74.57,14.23
365,assiniboia,40,CA,1570557622,63,49.63,-105.99,53.87,4.88
366,peterhead,75,AU,1570557622,62,-34.83,138.5,53.01,4.7
367,saint-ambroise,75,CA,1570557622,66,48.56,-71.32,55.99,10.29
368,erenhot,39,CN,1570557623,34,43.65,111.97,51.17,11.09
369,batagay-alyta,69,RU,1570557623,90,67.8,130.41,9.95,4.7
370,roald,75,NO,1570557623,76,62.58,6.12,48.2,11.41
371,saldanha,67,PT,1570557623,57,41.42,-6.55,70.97,6.44
372,warmbad,100,DE,1570557624,93,50.67,13.08,54.0,9.17
373,ahipara,11,NZ,1570557624,100,-35.17,173.16,48.0,5.84
374,valleyview,73,CA,1570557624,61,55.07,-117.28,28.49,10.49
375,lagoa formosa,0,PT,1570557625,69,37.14,-8.45,77.0,5.82
376,guthrie,1,US,1570557625,43,35.88,-97.43,73.4,12.75
377,guerrero negro,20,AR,1570557625,22,-24.19,-65.45,86.0,8.05
378,nianzishan,0,CN,1570557625,61,47.51,122.88,47.03,9.44
379,zharkent,76,KZ,1570557626,59,44.17,80.0,43.79,2.24
380,camacha,40,PT,1570557626,73,33.08,-16.33,75.2,14.99
381,whitehorse,40,CA,1570557605,85,60.72,-135.06,21.99,2.24
382,windhoek,7,NA,1570557626,6,-22.57,17.08,84.2,8.05
383,manyana,40,AU,1570557630,75,-35.26,150.51,52.0,9.17
384,pokhara,41,NP,1570557630,78,28.21,83.99,47.57,3.69
385,rumford,75,US,1570557631,48,44.55,-70.55,64.0,6.93
386,zyryanka,100,RU,1570557631,65,65.73,150.89,18.23,5.7
387,karema,38,TZ,1570557632,67,-6.82,30.44,79.43,6.4
